Word,Sentence,Correct Sense,Definition,
Suit,He wore a suit to the wedding.,Clothing,Matching formal jacket and trousers.,
Suit,The schedule suits me.,Be Appropriate,To fit or satisfy.,
Suit,The company filed a lawsuit.,Legal Action,A case brought before a court.,
Table,The books are on the table.,Furniture,A piece of furniture with a flat top and legs.,
Table,The committee decided to table the proposal.,Postpone Discussion,To delay consideration of a matter.,
Table,Table 3 shows the survey results.,Chart,Data arranged in rows and columns.,
Tank,The armored military tank moved across the rough terrain.,Combat Vehicle,A heavy armored fighting vehicle carrying guns and moving on continuous tracks,
Tank,They installed a massive glass fish tank in the living room.,Liquid Container,A large receptacle or container for holding liquid or gas,
Tap,Turn off the tap.,Faucet,Device controlling water flow.,
Tap,He tapped the table twice.,Light Hit,A gentle strike.,
Team,The team won the match.,Group,Organized players,
Team,They team up for projects.,Cooperate,Work together,
Tell,Tell me the truth.,Say,Communicate,
Tell,The data tells a different story.,Indicate,Show meaning,
Terminal,The airport terminal was crowded.,Transport Building,Area for passengers.,
Terminal,The disease reached a terminal stage.,Final Stage,End point of a process.,
Test,The test was difficult.,Exam,Assessment,
Test,Test the machine.,Check,Evaluate function,
Theme,The theme of the story is courage.,Central Idea,Main concept,
Theme,The park has a jungle theme.,Design Style,Decorative concept,
Theory,The theory explains gravity.,Explanation,Scientific idea,
Theory,It’s just a theory.,Hypothesis,Unproven idea,
Thread,Thread the needle.,String,Thin fiber,
Thread,Follow the conversation thread.,Sequence,Discussion chain,
Throttle,Reduce the throttle.,Engine Control,Device controlling power.,
Throttle,The provider throttled bandwidth.,Limit,Restrict performance or speed.,
Throw,Throw the ball.,Launch,Send through air,
Throw,He threw a tantrum.,Express Anger,Display emotion,
Tie,He wore a tie to the interview.,Neckwear,A strip of fabric worn around the neck.,
Tie,The game ended in a tie.,Draw,A result in which competitors have equal scores.,
Tie,Tie your shoes.,Fasten,Bind together,
Tie,The match ended in a tie.,Draw,Equal score,
Tip,Leave a tip for the waiter.,Gratuity,Extra payment,
Tip,The tip of the mountain is sharp.,End,Pointed part,
Tire,The front left tire of the sedan went completely flat.,Rubber Wheel,A rubber ring placed around a wheel to provide traction,
Tire,Walking up the steep flights of stairs will tire you out.,Become Fatigued,Lose energy or cause to feel weary; exhaust the stamina of,
Tone,Her tone was calm.,Voice Quality,Manner of speaking,
Tone,The painting has warm tones.,Color Shade,Hue,
Track,The runners entered the track.,Racecourse,A path for racing.,
Track,Scientists track hurricanes.,Monitor,To follow movement or progress.,
Track,She lost track of time.,Keep Record,Monitor,
Trade,They trade goods internationally.,Exchange,Buy/sell,
Trade,He learned a trade.,Skill,Occupation,
Train,The train arrived at the station on time.,Railway Vehicle,A series of connected railway cars.,
Train,They train every morning for the competition.,Practice,To teach or develop a skill through exercise.,
Train,The train is arriving.,Vehicle,Rail transport,
Train,She will train the dog.,Teach,Instruct,
Transfer,Transfer the files.,Move,Relocate data,
Transfer,He transferred to another school.,Change,Move institution,
Transform,The city transformed rapidly.,Change,Alter shape/form,
Transform,The data is transformed.,Convert,Change format,
Transport,Goods are transported daily.,Move,Carry,
Transport,He was in a state of joy and transport.,Emotion,Extreme feeling,
Trap,The mouse is in a trap.,Device,Catching mechanism,
Trap,Don’t fall into a trap.,Trick,Deception,
Treat,Doctors treat patients daily.,Provide Care,To give medical attention.,
Treat,Ice cream is a special treat.,Pleasure,Something enjoyable.,
Treat,Please treat everyone fairly.,Behave Toward,To act in a certain manner.,
Treat,Treat the wound carefully.,Care For,Give medical care,
Treat,It’s a special treat.,Reward,Enjoyable thing,
Trigger,Pull the trigger.,Mechanism,Gun part,
Trigger,The news triggered panic.,Cause,Initiate reaction,
Trip,We went on a trip.,Journey,Travel,
Trip,He tripped on the stairs.,Stumble,Lose footing,
Trunk,The tree trunk is thick.,Stem,The main woody stem of a tree.,
Trunk,Put the bags in the trunk.,Vehicle Compartment,Storage space in a car.,
Trunk,The elephant lifted its trunk.,Nose,Long flexible appendage.,
Trust,I trust my best friend.,Confidence,Belief in reliability.,
Trust,The trust manages family assets.,Legal Arrangement,Property managed for beneficiaries.,
Trust,Trust is important in teamwork.,Reliability,Confidence between people.,
Ultimate,Success is the ultimate goal.,Final,Highest or last stage,
Ultimate,This is the ultimate version of the software.,Best,Most advanced,
Umbrella,She carried an umbrella in the rain.,Rain Shield,Protective cover,
Umbrella,The company operates under an umbrella organization.,Grouping,Covering structure,
Undergo,He will undergo surgery.,Experience,Go through process,
Undergo,The system undergoes changes.,Experience Change,Be subjected to,
Underline,Please underline the key points.,Mark,Draw line beneath,
Underline,His tone seemed to underline the seriousness.,Emphasize,Highlight meaning,
Understand,I understand the problem.,Comprehend,Grasp meaning,
Understand,They understand each other well.,Interpret,Have mutual awareness,
Uniform,Students wear a uniform.,Clothing,Standard outfit,
Uniform,The distribution is uniform.,Consistent,Even pattern,
Unify,The leader tried to unify the group.,Bring Together,Make one,
Unify,Policies unify the system.,Integrate,Combine into whole,
Unique,She has a unique style.,One-Of-A-Kind,Unlike others,
Unique,The feature is unique to this model.,Exclusive,Only existing in,
Unit,The apartment unit is small.,Housing Space,Single dwelling,
Unit,A unit of measurement is used.,Standard Measure,Defined quantity,
Update,Please update the software.,Refresh,Make current,
Update,I will give you an update.,Information,Latest news,
Upgrade,Upgrade the system.,Improve,Enhance version,
Upgrade,He got a seat upgrade.,Better Position,Higher level change,
Uphold,The court will uphold the decision.,Support,Confirm validity,
Uphold,He tries to uphold traditions.,Maintain,Preserve,
Uplink,The satellite uplink failed.,Communication Channel,Connection to a satellite.,
Uplink,Establish an uplink immediately.,Transmission Path,Route for outgoing signals.,
Upper,The upper floor is closed.,Higher,Above level,
Upper,He has upper hand in negotiations.,Advantage,Dominant position,
Upset,She felt upset.,Emotionally Disturbed,Unhappy,
Upset,The team upset the champion.,Defeat,Surprise victory,
Upward,Prices are moving upward.,Increasing,Rising direction,
Upward,He looked upward.,Direction,Toward top,
Urban,Urban areas are crowded.,City-Related,Relating to cities,
Urban,Urban development is rapid.,Metropolitan,City-based growth,
Urge,I urge you to reconsider.,Strongly Advise,Encourage strongly,
Urge,He felt an urge to run.,Impulse,Strong desire,
Urge,The doctor urged rest.,Recommend,Advise strongly,
Usage,Language usage varies.,Application,Way of using,
Usage,High electricity usage is costly.,Consumption,Amount used,
Use,Use the tool carefully.,Utilize,Apply for purpose,
Use,The word has common use.,Purpose,Function,
Useful,This tool is very useful.,Helpful,Practical,
Useful,Useful information was provided.,Valuable,Beneficial,
Usher,The usher guided us to seats.,Guide,Person assisting entry,
Usher,This event ushered in a new era.,Introduce,Bring in,
Usual,This is the usual route.,Normal,Typical,
Usual,He arrived as usual.,Habitual,Standard behavior,
Utensil,A spoon is a kitchen utensil.,Tool,Cooking instrument,
Utility,Water has great utility.,Usefulness,Practical value,
Utility,The utility company fixed power.,Service Provider,Public service firm,
Utilize,They utilize resources well.,Use,Make use of,
Utter,The shocking news was met with a state of utter disbelief.,Complete / Absolute,"Complete, absolute, or total",
Utter,She opened her mouth but could not utter a single word.,Speak / Voice,Make a sound with one's voice; speak or articulate words,
Utter,He did not utter a word.,Say,Speak,
Utter,The situation is utter chaos.,Complete,Total,
Vacuum,The vacuum cleaner is broken.,Device,Cleaning appliance,
Vacuum,Space is a vacuum.,Empty Space,Absence of matter,
Valid,The ticket is still valid.,Acceptable,Legally or logically correct,
Valid,That is a valid argument.,Sound,Well-founded,
Value,The fair market value of the estate increased significantly.,Monetary Worth,"The monetary worth of something; importance, worth, or usefulness",
Value,We deeply value your contribution to our corporate team.,Appreciate / Prize,Estimate the monetary worth of; consider to be important or beneficial,
Value,This painting has great value.,Worth,Monetary or importance,
Value,You should value honesty.,Appreciate,Consider important,
Vanish,The magician made the coin vanish.,Disappear,Go out of sight,
Vanish,The hope began to vanish.,Fade,Become less,
Variable,The weather is highly variable.,Changeable,Likely to change,
Variable,x is a variable in math.,Symbol,Unknown quantity,
Vast,The desert is vast.,Huge,Extremely large,
Vast,He has vast experience.,Extensive,Very great,
Vault,The bank keeps cash in a vault.,Secure Room,A reinforced storage area.,
Vault,The gymnast performed a vault.,Athletic Move,A leap using support equipment.,
Vaulting,Vaulting is an Olympic sport.,Gymnastics Event,Athletic jumping discipline.,
Vaulting,The ceiling uses vaulting.,Architecture,Arched structural design.,
Vehicle,The vehicle is parked outside.,Transport,Means of transport,
Vehicle,Language is a vehicle for ideas.,Medium,Means of expression,
Venture,They will venture into space.,Attempt,Undertake risky activity,
Venture,The company is a business venture.,Enterprise,Commercial project,
Verify,Verify the information.,Confirm,Check accuracy,
Verify,The system verifies identity.,Validate,Prove correctness,
Version,This is the latest version.,Edition,Form of something,
Version,Her version of events differs.,Account,Personal description,
Vertical,The line is vertical.,Upright,Perpendicular direction,
Vertical,Vertical integration improves efficiency.,Structural,Organizational level,
Vessel,The vessel sailed away.,Ship,A watercraft.,
Vessel,Blood flows through a vessel.,Tube,A channel carrying fluid.,
Vessel,The vessel sailed at dawn.,Ship,Water transport,
Vessel,Blood vessels carry oxygen.,Tube,Body channel,
Vest,He wore a bulletproof vest.,Clothing,Protective garment,
Vest,Assets will vest over time.,Transfer,Become owned,
View,The view is beautiful.,Scenery,Sight,
View,I view him as a leader.,Regard,Consider,
Violate,He violated the rule.,Break,Disobey,
Violate,The system was violated by hackers.,Breach,Unauthorized access,
Virtual,Virtual reality is immersive.,Simulated,Computer-generated,
Virtual,He is the virtual leader.,Almost,Practically,
Virus,The computer has a virus.,Malicious Software,A program that spreads harmfully.,
